id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,desciription,imageDescription
94,dragonfly,Alcoholic,ordinary drink,highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg,"['gin','ginger ale','lime']","['1 1/2 oz','4 oz','1']","The Dragonfly, a refreshing blend of gin, ginger ale, and lime, belongs to the Highball family. Its origins are likely rooted in the early 20th century, when gin cocktails enjoyed a surge in popularity, with the addition of ginger ale providing a bubbly, spicy kick.","The cocktail has a light golden color with ice cubes floating in it, garnished with a fresh lime slice. It is served in a tall, highball glass that complements its refreshing look."
95,dry martini,Alcoholic,cocktail,cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,"['gin','dry vermouth','olive']","['1 2/3 oz','1/3 oz','1']","The Dry Martini, a classic member of the Martini family, is a gin-based cocktail with roots in 19th-century America. Its austere dryness, a testament to the dominance of gin over vermouth, is what defines it.","The drink appears to be a martini, characterized by its clear, pale yellow liquid, and it is elegantly garnished with a lemon twist floating gently atop. The sophisticated martini glasses catch the light beautifully, enhancing their tall, slender shapes and highlighting the simplicity of their design."
96,dry rob roy,Alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",https://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,"['scotch','dry vermouth','lemon peel']","['2 1/2 oz','1 1/2 tsp','1 twist of']","The Dry Rob Roy belongs to the Manhattan family, a classic cocktail style featuring whiskey, vermouth, and bitters. This variation, believed to have originated in the early 20th century, swaps the traditional sweet vermouth for dry vermouth and adds a citrus twist for a lighter, more refreshing profile.",The cocktail is served in a martini glass with a dark amber liquid and a single olive garnish with a small stick through it. The glass showcases its clarity and elegant curve.
97,dirty nipple,Alcoholic,shot,shot glass,This is a layered shot - the Bailey's must be on top,https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,"['kahlua','sambuca','baileys irish cream']","[none, none, none]","The Dirty Nipple is a popular shot-style cocktail that combines the creamy sweetness of Bailey's Irish Cream with the bold anise flavor of Sambuca. This drink has been around since the late 1980s, and its name is said to be a cheeky nod to its risqu_ origins","The cocktail appears to have three distinct layers of liquid in a short, tulip-shaped glass, with a creamy beige layer on top, followed by a dark, opaque layer in the middle, and a lighter, clear liquid forming the base. There is no visible garnish accompanying the drink."
98,dirty martini,Alcoholic,cocktail,cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well. Rub the rim of a martini glass with the wedge of lemon. Strain the contents of the cocktail shaker into the glass and add the olive. A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,"['vodka','dry vermouth','olive brine','lemon','olive']","['70ml/2fl oz','1 tbsp','2 tbsp','1 wedge','1']","The Dirty Martini belongs to the Martini family, a sophisticated and iconic cocktail group. Originating in the late 19th century, the Dirty Martini adds a salty, briny edge to the classic Martini with olive brine, a twist that gained popularity in the mid-20th century.","The cocktail is served in a classic martini glass, filled with a vibrant green drink and garnished with three olives stacked on a pick and a slice of lemon, offering both visual appeal and a fresh taste."
99,darkwood sling,Alcoholic,soft drink,cocktail glass,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",https://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,"['cherry heering','soda water','orange juice','ice']","['1 part','1 part','1 part','cubes']","The Darkwood Sling is a riff on the classic Sling family, a group of long, refreshing drinks popular in the 19th century. Its cherry liqueur base, soda water, and citrus fruit twist are reminiscent of the Sling��s versatility and adaptability, making it a modern take on a historic cocktail.","The cocktail is served in a short, round glass with a sugar-rimmed edge, giving it a tropical and refreshing appearance. The vibrant orange-yellow color suggests a citrus-based beverage, enhanced by the bright yellow lemon wedge and green apple garnish adding a pop of complementary color and texture."
100,dark and stormy,Alcoholic,ordinary drink,highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,"['dark rum','ginger beer']","['5 cl','10 cl']","The Dark and Stormy, a potent blend of dark rum and ginger beer, belongs to the Highball family, characterized by tall, refreshing drinks. Its origin is disputed, with claims from both Bermuda and Jamaica, but its popularity stems from its bold, spicy character, perfect for tropical climates.","The cocktail is a light amber in color with a refreshing lime wedge as a garnish. The drink is served in a short, wide glass filled with ice, giving it a bubbly appearance with visible carbonation."
101,dark caipirinha,Alcoholic,cocktail,highball glass,Muddle the sugar into the lime wedges in an old-fashioned glass. Fill the glass with ice cubes. Pour the cachaca into the glass. Stir well.,https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,"['demerara sugar','lime','cachaca']","['2 tsp','1','2 1/2 oz']","The Dark Caipirinha is a twist on the classic Caipirinha, a Brazilian cocktail. It belongs to the Sour family, characterized by its sour, sweet, and strong profile. The Demerara sugar adds depth and complexity, making it a richer, more sophisticated version of the original.","The cocktail is served in a highball glass filled with a golden-colored liquid and ice, garnished with a twist of lime, creating a vibrant contrast against the light brown background of the wooden table."
102,duchamp's punch,Alcoholic,cocktail,old-fashioned glass,Shake all ingredients. Double strain in a chilled double old fashioned glass with abig ice cube. Garnish with a couple of lavender sprigs,https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,"['pisco','lime juice','pineapple syrup','st. germain','angostura bitters','pepper','lavender']","['5 cl','2.5 cl','2.5 cl','1.5 cl','2 dashes','pinch','2 sprigs']","Duchamp's Punch is a modern Pisco-based cocktail featuring pineapple syrup, St. Germain (elderflower liqueur), lime juice, Angostura bitters, and a touch of pepper and lavender, creating a complex, floral, and slightly spicy flavor profile. It's a contemporary variation of the classic Pisco Sour family, designed to offer unique and intriguing floral notes. ","The cocktail__�__, topped with a white foam and adorned with lavender sprigs, nestled in a faceted rock glass, ready to be sipped and savored."
103,damned if you do,Alcoholic,shot,shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,"['whiskey','hot damn']","['0.75 oz','0.25 oz']","The Damned If You Do is a spirited riff on the classic Hot Damn, a high-octane, candy-flavored cocktail popular in the 1980s. This fiery concoction belongs to the shooter family, known for their quick, potent delivery and often audacious flavor combinations.","The drink in the tall shot glass appears to be a deep amber color, likely a spiced spirit or a small portion of brandy, given its hue and slight carbonation. The short shot glass contains a similar colored liquid, suggesting it could be the same or a closely related beverage, perfect for tasting or sipping in small portions."
104,dubonnet cocktail,Alcoholic,ordinary drink,cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg,"['dubonnet rouge','gin','bitters','lemon peel']","['1 1/2 oz','3/4 oz','1 dash','1 twist of']","The Dubonnet Cocktail is a classic?aperitif?drink belonging to the?Gin and Tonic?family. It originated in the 1930s, with its roots in the French aperitif tradition of mixing wine with fortified wines. The gin adds a botanical complexity, while the bitters and lemon peel provide a refreshing twist.","The cocktail appears to be an orange-toned Manhattan in a classic martini glass, adorned with a small lemon wedge for garnish."
105,drinking chocolate,Non alcoholic,cocoa,coffee mug,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,"['heavy cream','milk','cinnamon','vanilla','chocolate','whipped cream']","['2 oz','6-8 oz','1 stick','1','2 oz finely chopped dark','fresh']","This isn��t a cocktail, but a decadent, warm beverage. It draws inspiration from centuries-old hot chocolate traditions, with the creamy richness and spices echoing European and Latin American recipes. Enjoy it as a comforting treat, not a boozy concoction!","The frothy, rich brown liquid in the white ceramic mug suggests it is either a hot chocolate or a rich coffee drink, served over a white saucer for a luxurious presentation."
106,death in the afternoon,Alcoholic,cocktail,margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,"['absinthe','champagne']","['2 shots','top']","Death in the Afternoon is a classic?liqueur cocktail, a category that combines spirits with other flavors, often sweet or herbal. Created by Ernest Hemingway, the drink combines the anise-flavored absinthe with champagne, reflecting Hemingway��s fondness for both.","The cocktail appears to be a golden-colored Manhattan, served in a coupe glass with no visible garnish, presented against a softly lit, out-of-focus bar backdrop."
107,egg cream,Non alcoholic,other / unknown,coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,"['chocolate syrup','milk','soda water']","['2 tblsp','6 oz whole','6 oz']","The Egg Cream, a delightful concoction of chocolate syrup, milk, and soda water, belongs to the?soda fountain?family. Originating in the late 19th century in New York City, it was a popular treat in drugstores and soda fountains, offering a refreshing and creamy chocolatey experience.","This milkshake features creamy white and chocolate tones with a generous dollop of whipped cream on top and crushed nuts for a sprinkle of texture. The drink is served in a tall glass, complete with multiple stir sticks for easy sharing."
108,english highball,Alcoholic,ordinary drink,highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,"['brandy','gin','sweet vermouth','carbonated water','lemon peel']","['3/4 oz','3/4 oz','3/4 oz', none, none]","The English Highball is a unique blend of spirits and fizz, defying easy categorization. Though its ingredients hint at a classic highball, its brandy and vermouth base lean towards a Manhattan-like complexity. Its origin is shrouded in mystery, likely emerging from the eclectic cocktail scene of late 19th century England.","The iced beverage has a deep amber hue, indicating it might be an iced coffee or a similar dark mixology drink served over ice cubes with a twist. The drink is presented in a classic rocks glass, suitable for cocktails, and is garnished with a black straw and a single, unbroken piece of ice cube as a visual accent."
109,espresso martini,Alcoholic,cocktail,cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,"['vodka','kahlua','sugar syrup']","['5 cl','1 cl','1 dash']","The Espresso Martini, a potent blend of vodka, coffee liqueur (Kahlua), and a touch of sweetness, is a member of the Coffee Cocktail family. This iconic drink, born in London in the 1980s, is said to have been created by a bartender seeking a cocktail as strong as coffee and as smooth as silk.","The cocktail has a creamy, light brown hue with three coffee beans elegantly placed as a garnish. Served in a classic martini glass, it sits atop a white napkin, ready to be enjoyed."
110,espresso rumtini,Alcoholic,cocktail,cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg,"['rum','vanilla syrup','espresso','coffee']","['1 shot','1/2 shot','1 shot','1 shot']","The Espresso Rumtini is a vibrant member of the coffee cocktail family, drawing inspiration from the classic Martini. This invigorating blend, likely born from a desire to elevate the after-dinner coffee experience, fuses the richness of rum with the bold intensity of espresso and the sweetness of vanilla.","The cocktail is served in a small, round glass, showcasing a rich brown liquid topped with a frothy white layer and three dark coffee beans for decoration. The elegant presentation highlights the drink's luxurious character."
111,egg nog - healthy,Optional alcohol,punch / party drink,collins glass,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",https://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,"['egg','sugar','condensed milk','milk','vanilla extract','rum','nutmeg']","['1/2 cup','3 tblsp','13 oz skimmed','3/4 cup skimmed','1 tsp','1 tsp','']","This Healthy Egg Nog is a member of the?Creamy Cocktail?family, often featuring dairy and eggs. Its origins trace back to medieval European posset drinks, combining milk, eggs, and spices.","The creamy white drink is served in clear rocks glasses, each adorned with a single cinnamon stick for a festive touch. The smooth surface suggests a rich, possibly eggnog-like composition, perfect for holiday gatherings."
112,english rose cocktail,Alcoholic,ordinary drink,cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,"['apricot brandy','gin','dry vermouth','grenadine','lemon juice','cherry']","['3/4 oz','1 1/2 oz','3/4 oz','1 tsp','1/4 tsp','1']","The English Rose Cocktail belongs to the classic Martini family, showcasing the sophisticated balance of gin and vermouth. While its exact origin is unknown, the use of apricot brandy and grenadine suggests a late 19th or early 20th century creation, likely from a London bar, combining English spirits with continental flavors.","The cocktail is served in a martini glass, rimmed with red sugar crystals and garnished with a vibrant orange cherry."
113,elderflower caipirinha,Alcoholic,cocktail,collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,"['cachaca','lime','elderflower cordial']","['60 ml','1','3 cl']","The Elderflower Caipirinha is a modern twist on the classic Caipirinha, hailing from Brazil. It belongs to the Sour family, characterized by a base spirit, citrus juice, and a sweetener. The elderflower cordial adds a floral complexity, elevating the traditional rum-based sour.","The cocktail is presented in a short, faceted glass with crushed ice and lime wedges, showcasing a vibrant green hue from the citrus. A skewer pierces through the drink, adding a stylish finishing touch to the presentation."
114,egg-nog - classic cooked,Optional alcohol,punch / party drink,pitcher,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and refrigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",https://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg,"['egg','sugar','salt','milk','vanilla extract']","['6','1/4 cup','1/4 tsp','1 qt','1 tsp']","Egg-Nog - Classic Cooked contains Egg, Sugar, Salt, Milk, and Vanilla extract. In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and refrigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.","The cocktail features a creamy yellow hue with a sprinkle of cinnamon dusted across its surface, giving it a classic and inviting appearance. It is served in a elegant glass filled with a clear liquid that slowly flows from another glass into the drink below, adding a visually pleasing transition between the two."
115,empell_n cocina's fat-washed mezcal,Alcoholic,cocktail,beer glass,"To ensure that your pork fat is just as delicious as theirs, here��s their adobo marinade and what to do with it (you��ll also need a rack of ribs): 4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin. Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and pur_e until smooth. Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion. If you��re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade. Once you��ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don��t have a chinoise, try a fine mesh strainer, or if you don��t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it. The mezcal is now ready for drinking, straight-up or in a cocktail. Habanero tincture Slice habaneros and add 2 ounces Ilegal Joven mezcal. Allow to sit overnight or until desired level of heat is achieved. Cocktail Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds. Strain into chilled coupe. Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon. Garnish with 5 drops habanero tincture.",https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg,"['mezcal','chocolate liqueur','coffee liqueur']","['2 oz','3/4 oz','1/2 oz']","Empell_n Cocina's fat-washed mezcal cocktail uses a savory pork fat from their adobo-marinated ribs as the fat-washing agent, which infuses the mezcal with a unique, smoky, and savory flavor and a luxurious mouthfeel. The cocktail itself combines this fat-washed mezcal with a house-made tomato syrup and Ancho Reyes liqueur, creating a complex and flavorfuldrink. ","The cocktail is presented in two small glasses: one with a clear liquid resembling lime juice, and another in a plastic cup with a gradient of vibrant yellow to red, garnished simply. The second cocktail is served in a traditional short glass containing the same gradient liquid."
116,frose,Alcoholic,cocktail,cocktail glass,"Step 1 Pour ros_ into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours. Step 2 Meanwhile, bring sugar and �� cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes. Step 3 Scrape ros_ into a blender. Add lemon juice, 3�� ounces strawberry syrup, and 1 cup crushed ice and pur_e until smooth. Transfer blender jar to freezer and freeze until fros_ is thickened (aim for milkshake consistency), 25��35 minutes. Step 4 Blend again until fros_ is slushy. Divide among glasses. Step 5 Do Ahead: Ros_ can be frozen 1 week ahead.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,"['rose','sugar','strawberries','lemon juice']","['750 ml','1/2 cup','8 oz','2-3 oz']","Fros_ is a mixed drink made from ros_ wine frozen to a slush, with strawberries, vodka, and lemon juice.","The cocktails present are vibrant reddish-orange with a fresh mint garnish on top, served elegantly in wide-brimmed margarita glasses."
117,frappe,Non alcoholic,coffee / tea,highball glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,"['coffee','milk','sugar']","['1/2 cup black','1/2 cup','1-2 tsp']","The Frappe, a simple blend of coffee, milk, and sugar, belongs to the Coffee Cocktail family. Originating in Greece in the early 20th century, it��s a refreshing, iced beverage popularized by the Nescaf? brand, providing a delightful jolt of caffeine.","The dark brown cocktail in the highball glass has a creamy white layer on top, giving it a classic presentation with an orange straw for drinking."
118,foxy lady,Alcoholic,ordinary drink,cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,"['amaretto','creme de cacao','light cream']","['1/2 oz','1/2 oz','2 oz']","The Foxy Lady is a creamy, sweet cocktail belonging to the?liqueur-based?family, reminiscent of classic dessert drinks. While its exact origin is unknown, it likely emerged in the mid-20th century, a time when creamy cocktails like the White Russian were popular.","The cocktail is presented in a classic martini glass, with a creamy beige color topped with a dusting of grated nutmeg. A red and white striped straw adds a festive touch to the presentation."
119,french 75,Alcoholic,ordinary drink,collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg,"['gin','sugar','lemon juice','champagne','orange','maraschino cherry']","['1 1/2 oz','2 tsp superfine','1 1/2 oz','4 oz chilled','1','1']","The French 75 is a classic Champagne cocktail, a family known for their celebratory elegance. Created during World War I in Paris, this potent concoction was named for the powerful French 75mm field gun.","The drink in the flute glass appears to be a champagne cocktail, its golden hue accentuated by lemon slices floating near the top, creating a refreshing contrast against the crystal-clear liquid below."
120,figgy thyme,Alcoholic,cocktail,highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,"['vodka','honey','figs','thyme','angostura bitters','tonic water']","['2 oz','1 tsp','3','1 sprig','2 dashes','top']","Figgy Thyme belongs to the?Fizz?family, a classic cocktail style known for its effervescence. Though its precise origin is unclear, the combination of spirit, sweetener, and bitter elements, often topped with sparkling water, has roots in the 19th century.","This tall highball glass features a refreshing, icy white liquid adorned with vibrant, golden fig slices and sprigs of thyme as elegant garnishes, creating a visually stunning and aromatic drink."
121,frisco sour,Alcoholic,ordinary drink,whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,"['blended whiskey','benedictine','lemon','lime','lemon','lime']","['2 oz','1/2 oz','juice of 1/4','juice of 1/2','1 slice','1 slice']","The Frisco Sour is a member of the Sour family, a classic cocktail style featuring a base spirit, citrus juice, and sweetener. This specific variation, likely hailing from San Francisco (Frisco), embraces the city��s history of blending whiskey and the distinctive herbal sweetness of Benedictine.","The cocktail features a golden-brown liquid, showcasing a perfect balance of flavor. It's served in a classic double-old-fashioned glass adorned with a lime wedge, which adds a vibrant green hue to its elegant presentation."
122,fruit shake,Non alcoholic,other / unknown,highball glass,Blend til smooth.,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,"['yoghurt','banana','orange juice','fruit','ice']","['1 cup fruit','1','4 oz frozen','1/2 piece textural','6']","The Fruit Shake belongs to the?Milkshake family, a refreshing beverage category with roots in the late 19th century. Originating in America, milkshakes were initially made with ice cream, milk, and flavorings, evolving to incorporate fruits and yogurt for a healthier twist.","The vibrant orange smoothie in a tall, clear glass features two matching blue straws for easy sipping. The surface of the smoothie shows slight foam and bubbles, suggesting it has been recently blended with chunks of banana and another citrusy fruit, likely papaya, arranged beside it for garnish and visual appeal."
123,fruit cooler,Non alcoholic,other / unknown,highball glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,"['apple juice','strawberries','sugar','lemon','apple','soda water','ice']","['1 can frozen','1 cup','2 tblsp','1','1','1 l', none]","The Fruit Cooler belongs to the?fruit punch family, a refreshing beverage with roots in the?18th century. Its origin is likely rooted in the colonial American tradition of mixing fruit juices, sugar, and spirits, evolving into a non-alcoholic, celebratory drink.","The cocktail has a vibrant yellow hue with visible pieces of fresh fruit like pineapples and strawberries, giving it a tropical and refreshing look. Served in a curving cocktail glass, the drink appears to be served at an event, with ice adding to the refreshing appearance."
124,freddy kruger,Alcoholic,shot,shot glass,make it an ample size shot!!,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,"['jagermeister','sambuca','vodka']","['1/2 oz','1/2 oz','1/2 oz']","The Freddy Krueger drink recipe�� watch out!! Shake the sambuca, the vodka and the jagermeister with ice. Strain your Freddy Krueger drink into a shot glass. There are many different variations of the Freddy Kruger shot. the Freddy Krueger drink one of the perfect drinks to prepare for Halloween.
","The cocktail features a vibrant orange and red gradient with a thin layer of foam on top, served in a highball glass filled with ice cubes."
125,funk and soul,Alcoholic,cocktail,collins glass,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,"['rum','apricot nectar','pomegranate juice','lemon','soda water']","['2 shots','1 shot','1 shot','juice of 1/2','top']","Funk and Soul belongs to the?Sour?family, a classic cocktail style. It��s a modern twist, incorporating fruity elements like apricot and pomegranate, which are popular in today��s mixology. The addition of soda water gives it a refreshing, spritzy finish.","The cocktail is a vibrant pink, served in a highball glass filled with ice. It is garnished with thin slices of cucumber."
126,fuzzy asshole,Alcoholic,coffee / tea,coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,"['coffee','peach schnapps']","['1/2','1/2']",This drink is very potent... Be careful. You can add as much Vodka as you wish.,"The dark, rich liquid in the clear mug suggests a strong espresso or black coffee cocktail, with just a hint of milk on top. The drink is served in a classic mug with a handle, perfect for sipping and enjoying the steam."
127,french martini,Alcoholic,cocktail,cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,"['vodka','raspberry liqueur','pineapple juice']","['4.5 cl','1.5 cl','1.5 cl']","The French Martini, a blend of vodka, raspberry liqueur, and pineapple juice, belongs to the Sour family, characterized by the use of citrus and a sweetener. It emerged in the 1980s, likely originating in New York City, gaining popularity for its fruity and sweet appeal.",The cocktail__�___���__顶�_�__�_�____奶�_�__��个�_��_��
128,french negroni,Alcoholic,cocktail,martini glass,"Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,"['gin','lillet','sweet vermouth','orange peel']","['1 oz','1 oz','1 oz','1']","The French Negroni is a twist on the classic Negroni, belonging to the Negroni family. It swaps Campari for the French aperitif Lillet, adding a lighter, more floral twist. Its origin likely stems from the mid-20th century, as Lillet rose to popularity in the 1950s.","The cocktail has a light green hue with orange zest as a garnish, presented elegantly in coupette glasses atop a rustic turquoise surface."
